n,seconds
355,0.0031053180
356,0.0030091850
357,0.0029271610
358,0.0030254560
359,0.0029033810
360,0.0050653280
361,0.0029480880
362,0.0029231090
363,0.0033114460
364,0.0030595500
365,0.0031369890
366,0.0030597070
367,0.0031817040
368,0.0031110450
369,0.0034637640
370,0.0033263530
371,0.0031615070
372,0.0030623740
373,0.0033776470
374,0.0032929790
375,0.0033039280
376,0.0033849920
377,0.0032223550
378,0.0051707250
379,0.0034962680
380,0.0041650330
381,0.0034145530
382,0.0036770290
383,0.0046934020
384,0.0034178740
385,0.0032753070
386,0.0033388160
387,0.0036847370
388,0.0050325700
389,0.0038793220
390,0.0036530240
391,0.0038643320
392,0.0034958540
393,0.0045620970
394,0.0043519850
395,0.0036478820
396,0.0045395690
397,0.0036088330
398,0.0037210580
399,0.0049073340
400,0.0035760510
401,0.0038675850
402,0.0043105780
403,0.0038337390
404,0.0042064960
405,0.0038071870
406,0.0040160430
407,0.0040694340
408,0.0039306660
409,0.0039903500
410,0.0054391660
411,0.0045703630
412,0.0043367000
413,0.0046439050
414,0.0043206010
415,0.0101226650
416,0.0054558000
417,0.0096503050
418,0.0087980170
419,0.0104318730
420,0.0119169690
421,0.0082168370
422,0.0085210930
423,0.0056563850
424,0.0219526720
425,0.0083900550
426,0.0158788850
427,0.0124678010
428,0.0088138600
429,0.0060994640
430,0.0101395960
431,0.0057743980
432,0.0092518010
433,0.0059325530
434,0.0081538350
435,0.0058632390
436,0.0058017520
437,0.0082845610
438,0.0059085620
439,0.0086369000
440,0.0061441880
441,0.0087882620
442,0.0060439880
443,0.0084912470
444,0.0061071170
445,0.0088623830
446,0.0062539240
447,0.0085570050
448,0.0061738120
449,0.0060806490
450,0.0084347780
451,0.0062163010
452,0.0083536990
453,0.0061884700
454,0.0085790170
455,0.0063395670
456,0.0088295030
457,0.0063602520
458,0.0117726610
459,0.0102835870
460,0.0065445390
461,0.0089572000
462,0.0067933080
463,0.0091385850
464,0.0067995840
465,0.0090647490
466,0.0066851520
467,0.0094782320
468,0.0066370750
469,0.0095372480
470,0.0071600720
471,0.0097994700
472,0.0070393260
473,0.0098702550
474,0.0070848280
475,0.0106980830
476,0.0072794160
477,0.0101006810
478,0.0101095640
479,0.0069422370
480,0.0102639020
481,0.0070857410
482,0.0096773970
483,0.0072507610
484,0.0098516720
485,0.0072409950
486,0.0097549690
487,0.0094479310
488,0.0072628860
489,0.0100868470
490,0.0072722490
491,0.0097658010
492,0.0074207380
493,0.0096288350
494,0.0074571590
495,0.0146743580
496,0.0134207280
497,0.0097829730
498,0.0079302460
499,0.0106463100
500,0.0076637620
501,0.0104161470
502,0.0101474710
503,0.0077036650
504,0.0102796470
505,0.0077499290
506,0.0102654690
507,0.0080546950
508,0.0103153710
509,0.0106099740
510,0.0084361870
511,0.0116540620
512,0.0107821680
513,0.0082245660
514,0.0112851570
515,0.0083028270
516,0.0086147990
517,0.0124239170
518,0.0118651050
519,0.0086563350
520,0.0179682040
521,0.0109768200
522,0.0102094180
523,0.0081588560
524,0.0083368200
525,0.0083151240
526,0.0087723980
527,0.0084942130
528,0.0084186130
529,0.0083037000
530,0.0086183500
531,0.0085006270
532,0.0084442700
533,0.0088086850
534,0.0085618710
535,0.0091698520
536,0.0104732220
537,0.0086045250
538,0.0086350570
539,0.0126469880
540,0.0091506980
541,0.0088310980
542,0.0092394530
543,0.0089106650
544,0.0092788060
545,0.0088791850
546,0.0091458780
547,0.0090474610
548,0.0089375040
549,0.0090181240
550,0.0091569550
551,0.0093790070
552,0.0091435870
553,0.0093471560
554,0.0097777220
555,0.0091207280
556,0.0094821500
557,0.0150270790
558,0.0135307760
559,0.0228796440
560,0.0106840860
561,0.0100772310
562,0.0101171320
563,0.0104525150
564,0.0103299990
565,0.0099874350
566,0.0091741750
567,0.0073134930
568,0.0077773780
569,0.0074836710
570,0.0076467550
571,0.0073391900
572,0.0075343280
573,0.0078020320
574,0.0080144120
575,0.0074449020
576,0.0076188470
577,0.0075570090
578,0.0074706100
579,0.0082270200
580,0.0089577500
581,0.0076169890
582,0.0077357680
583,0.0074781280
584,0.0077651750
585,0.0075837720
586,0.0075736590
587,0.0091760900
588,0.0109363120
589,0.0103475920
590,0.0105320100
591,0.0131839570
592,0.0109454880
593,0.0108515710
594,0.0110281090
595,0.0109212840
596,0.0151878630
597,0.0137438840
598,0.0121762060
599,0.0143295470
600,0.0110084140
601,0.0112769550
602,0.0112609800
603,0.0112159090
604,0.0138613940
605,0.0115163550
606,0.0118377360
607,0.0115567970
608,0.0117959150
609,0.0118176950
610,0.0115659220
611,0.0122614670
612,0.0119221710
613,0.0117601820
614,0.0300196130
615,0.0251090930
616,0.0236876850
617,0.0123817570
618,0.0133299480
619,0.0146397350
620,0.0148926680
621,0.0152719290
622,0.0148003800
623,0.0152883990
624,0.0153379230
625,0.0169983580
626,0.0170093220
627,0.0148736860
628,0.0145726090
629,0.0159410610
630,0.0153135970
631,0.0154987140
632,0.0156345820
633,0.0170639990
634,0.0196322340
635,0.0152228550
636,0.0149589220
637,0.0152665410
638,0.0154999260
639,0.0167998650
640,0.0165428570
641,0.0154570540
642,0.0163009220
643,0.0155971130
644,0.0157878690
645,0.0154769750
646,0.0154894780
647,0.0153974410
648,0.0133866630
649,0.0235646040
650,0.0170885020
651,0.0160596020
652,0.0667793230
653,0.0282790830
654,0.0178782170
655,0.0166846330
656,0.0159016420
657,0.0169594490
658,0.0185227720
659,0.0152270090
660,0.0159197790
661,0.0158984930
662,0.0157276550
663,0.0158534830
664,0.0157281500
665,0.0159608290
666,0.0158327030
667,0.0156052740
668,0.0156294580
669,0.0165356710
670,0.0192831620
671,0.0173912200
672,0.0169973790
673,0.0176486060
674,0.0144567800
675,0.0142689780
676,0.0145737850
677,0.0140646030
678,0.0140186530
679,0.0137699420
680,0.0143103590
681,0.0139202630
682,0.0140949280
683,0.0144624080
684,0.0141651290
685,0.0139055820
686,0.0141772110
687,0.0140446460
688,0.0142298540
689,0.0141948130
690,0.0146630770
691,0.0144689010
692,0.0146385800
693,0.0147853820
694,0.0149078470
695,0.0163004590
696,0.0155850230
697,0.0262783910
698,0.0201546750
699,0.0149165750
