n,seconds
1,0.0000106420
2,0.0000030360
3,0.0000056730
4,0.0000129370
5,0.0000260630
6,0.0000569520
7,0.0001337950
8,0.0002856000
9,0.0008049810
10,0.0013183660
11,0.0028335010
12,0.0060189600
13,0.0125871550
14,0.0270302450
15,0.0594441750
16,0.1354017030
17,0.3215187560
18,0.6221587220
19,1.1618107700
20,2.2927952140
21,4.8492410300
22,9.4356721700
